ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSize,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
22377201,0,0,0,0,0,1,66,4356,0.75,0.733333333,5.714285714,6.5,5.25,5.5,6.5,6,2.75,3.25,0.321415979,-0.672841323,-0.51452023,0.989182936,-0.545683044,-0.548767837,0.632321715,5381,1,20,1,0,0,0,1,0,0,512,507,22,10
21377171,0,0,0,0,0,1,62,3844,0.9375,0.521052632,0.642857143,2.25,6,5.25,3,3.5,4,3.75,1.267479953,0.278057857,-0.040023095,2.869425692,0.784918809,0.996157129,0.741481185,4767,0,20,1,0,0,0,1,0,0,524,535,4,4
22377201,0,0,1,0,0,0,62,3844,1,0.962962963,12.64285714,7,7,6.25,7,5,6.25,4.75,0.146127153,-0.596133618,-0.674756681,2.249593068,0.133407782,-0.128544178,0.907875478,5381,1,20,1,0,0,0,1,0,0,512,507,2,2
sy2314105,0,0,0,0,1,0,70,4900,1,0.694235589,15.07142857,7,7,6.75,7,7,7,6.75,0.120535216,-0.699328581,-0.792198211,1.149202192,-0.175282825,-0.03344404,0.91427803,3119,0,22,0,1,0,0,0,0,1,524,461,17,5
21377255,0,0,0,1,0,0,70,4900,0.5625,1,1.678571429,1.5,6.5,6,5.75,5.75,5.5,1,0.378825463,-0.636302342,-0.570168666,3.115528315,0.445017773,0.27426276,0.837394953,4201,0,19,1,0,0,0,0,0,1,524,538,10,10
22377053,0,1,0,0,0,0,70,4900,0.8125,0.838383838,1.75,5,4,4.75,3.75,4.5,5,2.75,0.66951298,0.194950121,-0.462051751,2.414954281,-0.19136479,-0.206078461,0.849062562,5311,0,19,1,0,0,0,1,0,0,529,507,20,8
22377201,0,0,0,0,1,0,58,3364,1,0.919484702,13.32142857,7,6.25,7,7,6.25,6.5,4.25,-0.696928631,-1.643859274,-1.771286587,0.496704805,-1.089709779,-0.996769088,0.944778442,5381,1,20,1,0,0,0,1,0,0,512,507,17,5
22377333,0,0,1,0,0,0,70,4900,0.9375,0.847826087,8.857142857,6.75,4.75,6,6.25,6.5,7,6.25,0.929387022,-0.305511731,-0.380643454,1.018514365,0.114648371,-0.108815162,0.918062568,5195,0,19,1,0,0,0,1,0,0,425,507,20,8
21377181,0,0,1,0,0,0,66,4356,1,0.703571429,11.42857143,6,7,7,7,5.5,7,3,0.935546764,0.219476602,-0.016893571,3.226429976,0.738356816,0.917312845,0.78598839,3697,1,20,1,0,0,0,1,0,0,524,520,1,1
21377171,0,0,1,0,0,0,58,3364,0.875,0.9125,-4.964285714,1,6,5.75,2.25,2.5,1,1,2.580986708,0.508438866,0.465733097,3.073551741,0.670936754,0.920602208,0.583819807,4767,0,20,1,0,0,0,1,0,0,524,535,2,2
sy2314105,0,0,0,0,0,1,70,4900,0.9375,0.776851852,13.82142857,7,7,6.75,7,7,6.75,5.25,-0.150532433,-0.933947726,-1.06077439,0.968490426,-0.00944862,-0.02585869,0.936515152,3119,0,22,0,1,0,0,0,0,1,524,461,20,8
21377225,0,0,1,0,0,0,70,4900,0.875,0.722222222,6.25,4.25,6.25,5,5.25,5,6.25,4.5,0.660751533,-0.324449881,-0.33607682,1.235194991,-0.556467872,-0.312365504,0.754150093,4985,0,20,1,0,0,1,0,0,0,625,605,16,4
21377171,0,1,0,0,0,0,62,3844,0.9375,0.7,6.964285714,5.5,6,6.5,5.25,5.25,6,3.25,1.569231505,0.232879725,0.167167229,2.603174322,0.616662483,0.584594497,0.7750476,4767,0,20,1,0,0,0,1,0,0,524,535,6,6
22377028,0,0,0,1,0,0,70,4900,0.75,0.662337662,5.428571429,5,5.5,4.75,4.75,5,5,5.75,0.511895126,-0.354080039,-0.36200457,2.631707235,0.301923451,0.541462032,0.810263515,3398,0,20,1,0,0,0,1,0,0,598,507,8,8
21379216,0,0,0,0,1,0,62,3844,0.875,0.825738916,-4.821428571,3,4,4.25,3,1.75,3,2.25,0.528750376,-0.410592767,-0.355888994,1.026558955,-0.098309901,0.028928416,0.920618296,4343,1,20,1,0,0,0,1,0,0,514,432,8,8
22377053,0,0,0,0,0,1,58,3364,1,0.96,6.142857143,4,6.5,5.25,6,5.5,5.75,1.5,1.275824169,-0.164979838,-0.722600121,1.91888149,-0.811305129,-0.764160351,0.996760607,5311,0,19,1,0,0,0,1,0,0,529,507,18,6
21377185,0,0,0,0,1,0,62,3844,0.9375,0.758333333,1.642857143,4,7,7,5.75,2.25,1.75,2.25,1.155091911,0.729754685,0.729628845,1.509959064,0.7928254,0.722243644,0.78276372,3361,1,20,1,0,0,0,0,1,0,500,507,21,9
21377151,0,0,0,1,0,0,58,3364,0.875,0.892857143,6.214285714,5,5.5,6,5.5,4.75,6,3.25,0.427982624,-0.231777049,-0.508830506,2.557303761,0.458107595,0.700379057,0.953977168,3626,1,20,1,0,0,1,0,0,0,482,507,24,12
22377333,0,0,1,0,0,0,58,3364,1,0.666666667,0.142857143,3.5,3.5,5,2.5,6,6,1.75,0.127240931,-0.0171421,-0.498536765,1.820660455,1.168045954,0.779642013,0.797614813,5195,0,19,1,0,0,0,1,0,0,425,507,8,8
zy2342116,0,0,0,0,1,0,66,4356,0.8125,0.898989899,-2.107142857,2.25,6,3.25,3,2.75,4.5,2.5,0.347086998,-0.266736088,-0.20972876,0.029967166,-0.171784184,-0.38444435,0.992557168,4573,1,23,0,1,0,1,0,0,0,524,536,7,7
21377076,0,1,0,0,0,0,66,4356,0.8125,0.879710145,1.892857143,4.5,4,4.5,4.75,4.75,4.5,3.5,-0.423593443,-0.89674714,-1.127473751,0.415768252,-0.642534089,-0.95608646,0.936506271,4862,1,20,1,0,0,0,1,0,0,524,475,21,9
21377369,0,0,1,0,0,0,66,4356,0.875,0.961538462,11.5,5.75,6,6.5,5.75,5,6.25,5.5,2.02248129,0.669157977,0.677247269,2.031381704,1.087846986,0.778833841,0.652037024,4353,0,19,1,0,0,0,1,0,0,605,528,2,2
