ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSpeak,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
21377053,1,0,0,0,0,0,58,3364,0.75,0.419544741,-0.178571429,3.25,6.5,5.25,4,5.75,6.5,2.75,-0.35281842,-0.869046291,-1.03647319,0.119812862,0.249987917,-0.236677527,-0.014729002,4273,1,20,1,0,0,0,1,0,0,570,553,1,1
21377086,0,0,1,0,0,0,70,4900,0.4375,0.3746219,-14.64285714,3.75,4.75,5,6,4.75,4.5,3.5,-0.159069372,-0.726823353,-1.115821632,2.243539381,0.05105327,0.366471795,0.605991006,4101,0,20,1,0,0,1,0,0,0,500,500,22,10
by2308134,0,0,0,1,0,0,62,3844,0.625,0.584345479,-12.42857143,5.5,7,6.5,7,6,7,3.5,0.509356988,-0.020499881,-0.240884179,0.978511557,-0.116341701,0.010417144,0.129022807,3893,0,25,0,0,1,0,0,1,0,556,485,10,10
by2308134,0,0,0,1,0,0,70,4900,0.75,0.329359165,-3.428571429,6.5,6.75,6.75,6.75,6.5,7,4.25,5.986154295,0.937171984,3.159699297,2.232917745,0.492638327,0.998693763,-0.069051266,3893,0,25,0,0,1,0,0,1,0,556,485,4,4
by2308103,0,0,0,1,0,0,66,4356,0.625,0.118487395,1.321428571,6.25,7,7,7,6.5,7,5.75,0.255201301,-0.507827929,-0.47049921,0.594132729,-0.222250213,-0.276296561,0.074571125,4557,1,23,0,0,1,0,0,1,0,556,553,2,2
by2308106,1,0,0,0,0,0,66,4356,0.6875,0.264705882,3.142857143,4.75,5.5,5.5,5,4.25,5.75,6,0.194079871,-0.940305428,-0.677661803,0.414208245,-0.322776876,-0.468814551,0.068292409,3590,0,23,0,0,1,0,0,1,0,585,566,3,3
sy2308220,0,0,1,0,0,0,70,4900,0.8125,0.554644809,7.107142857,4.75,6.75,6.5,6.5,5.5,5.75,3.5,0.144712776,-0.055460849,-0.407995587,2.343768913,0.626193673,0.669823288,-0.04898132,3752,0,23,0,1,0,0,0,1,0,530,500,4,4
zy2207207,1,0,0,0,0,0,66,4356,1,0.560650407,15.60714286,6.5,6,7,6,5.5,6,5,0.771765166,0.638281451,0.565048728,0.990448963,0.056128263,0.176966319,0.033652201,4030,1,24,0,1,0,0,0,0,1,616,598,5,5
zy2207207,0,0,0,0,1,0,70,4900,1,0.678869048,15.42857143,5.5,6,6.75,5.25,5.5,6,4.25,0.87365501,0.189666869,0.247396431,0.995236609,0.07234221,0.106197639,0.006714527,4030,1,24,0,1,0,0,0,0,1,616,598,7,7
20377292,0,0,1,0,0,0,58,3364,0.6875,0.592888151,0.964285714,4,6,5,4.5,5.25,5,1.25,-0.131321584,-1.828639054,-1.773221429,0.965555969,-0.254605669,-0.013938719,0.181392536,4467,1,20,1,0,0,1,0,0,0,500,523,17,5
